Hotel_Name	City_Name	Features
The Colonnade	atlanta	253 231 250 198 102 191 192 174 248 221 220 217 075 205 052 163
Spanish Cafe	atlanta	253 231 136 191 192 174 197 071 001 048 223 075 205 053 165
China Doll	atlanta	253 174 039 076 205 053 163
Niko's	atlanta	100 253 191 192 063 103 075 205 053 164
Kobe Steaks	atlanta	100 253 250 245 191 192 128 225 075 205 053 164
San Gennaro	atlanta	253 250 191 192 174 063 036 124 075 205 053 164
Nuts and Berries	atlanta	253 231 150 174 083 112 243 074 204 051 162
Outback Steaks	atlanta	100 253 231 250 191 192 174 063 036 225 075 205 053 164
Baker's Cafe	atlanta	253 231 250 174 197 030 047 075 205 052 162
Emah's Restaurant & Cafe	atlanta	253 231 250 150 245 174 063 036 129 129 140 143 075 205 051 163
Ray's New York Pizza	atlanta	253 250 191 192 174 063 036 121 075 204 051 162
Claudette's	atlanta	253 231 250 200 191 192 174 059 036 091 075 205 053 164
Pilgreen's	atlanta	100 253 231 191 192 174 010 229 220 217 225 075 204 052 164
Carey's	atlanta	253 231 250 174 071 057 008 107 075 204 051 162
Lickskillet Farm	atlanta	100 250 198 191 192 010 248 221 008 220 217 075 206 054 165
The Red Snapper	atlanta	253 250 198 191 192 174 229 212 076 205 052 164
Gene and Gabe's Lodge	atlanta	191 192 063 248 121 075 205 053 165
The Crab House	atlanta	100 253 231 250 191 192 174 071 229 212 074 204 052 164
Papa Piroski's	atlanta	253 250 150 200 245 191 192 174 146 202 076 205 053 166
Taco Mac	atlanta	253 250 178 191 192 174 063 197 004 132 071 059 036 215 142 234 074 204 052 162
Stage Deli	atlanta	100 253 250 198 191 192 174 063 083 059 036 058 076 204 053 163
Ruth's Chris Steakhouse	atlanta	253 099 231 250 191 192 174 059 024 008 225 076 205 053 166
The Coach and Six	atlanta	253 250 189 191 192 174 114 071 024 008 075 205 053 166
Anthony's	atlanta	253 099 198 193 191 192 174 063 010 111 097 248 221 024 045 220 217 075 205 054 166
Jim White's Half Shell	atlanta	253 231 198 245 174 059 229 212 075 205 052 165
El Toro	atlanta	100 253 250 178 174 036 138 142 234 074 204 051 162
Burton's Grill	atlanta	100 231 197 221 036 220 217 076 204 051 162
House of Chan	atlanta	174 039 076 205 052 163
Jagger's	atlanta	100 253 086 250 191 192 174 197 083 215 182 075 204 052 163
Avanzare	atlanta	026 100 099 231 250 174 040 024 123 075 205 054 165
San Jose	atlanta	138 142 234 074 204 051 162
Nino's	atlanta	253 231 200 191 192 174 036 121 075 205 052 165
Pete's (aka The Forum)	atlanta	100 253 231 198 190 066 191 192 174 248 008 045 075 205 052 164
Dusty's	atlanta	100 250 174 197 036 017 220 217 075 204 051 162
Petite Auberge	atlanta	253 231 198 191 192 174 248 036 045 091 075 205 053 165
Bamboo Luau's Chinatown	atlanta	253 191 192 174 004 132 059 036 039 074 204 052 163
Brother Juniper's	atlanta	253 174 197 042 061 112 075 204 051 162
Veggieland	atlanta	253 231 150 198 174 063 083 036 112 243 075 204 051 162
Raffaello	atlanta	253 250 200 245 174 146 024 229 123 075 206 053 167
Sitar	atlanta	250 136 174 040 117 076 206 052 164
Avanti's	atlanta	100 253 191 192 174 071 057 123 074 205 052 165
Violette	atlanta	231 200 174 197 092 075 205 052 164
Zur Bratwurst Bavarian	atlanta	253 231 191 192 174 063 036 098 075 204 051 163
Yakitori Den-Chan	atlanta	253 250 191 192 004 132 114 128 075 205 053 164
A Taste of New Orleans	atlanta	253 231 191 192 036 030 047 076 205 052 165
Bridgetown Grill	atlanta	231 250 174 063 197 059 036 034 048 075 205 053 163
Dooley's Tavern	atlanta	253 231 250 194 191 192 174 063 004 132 036 215 008 073 204 052 163
Nicola's	atlanta	100 253 250 191 192 174 036 140 143 243 076 206 052 164
Cassis	atlanta	026 100 099 250 200 193 191 192 174 040 024 140 076 205 054 167
Chow	atlanta	231 250 102 063 114 083 036 215 005 123 075 205 053 164
Bobby and June's Country Kitchen	atlanta	100 253 231 191 192 174 221 059 036 017 220 217 075 205 051 162
Hong Kong Delight	atlanta	100 253 198 191 192 174 059 036 039 075 205 052 163
French Quarter Grocery	atlanta	100 253 231 136 174 063 197 036 001 007 030 047 076 205 051 163
The Silver Skillet	atlanta	198 102 191 192 174 114 221 083 008 042 061 220 217 075 205 052 162
Bien Thuy	atlanta	253 250 191 192 174 197 036 001 246 076 205 051 163
Paschal's	atlanta	100 231 250 189 191 192 174 040 010 071 221 220 217 075 205 052 163
African Brown Bag Restaurant	atlanta	253 191 192 174 197 071 036 025 003 075 205 051 163
INDIGO	atlanta	080 253 231 250 062 132 102 174 063 114 034 068 212 076 206 053 165
CITY GRILL	atlanta	250 189 102 191 192 174 146 010 024 005 007 045 076 206 055 167
Eat Your Vegetables	atlanta	253 231 150 174 111 071 036 229 005 112 243 075 205 052 163
The Captain's Roost	atlanta	231 062 132 174 212 075 205 052 163
CHEFS' CAFE	atlanta	080 099 231 250 245 193 102 191 192 174 040 083 005 076 206 053 165
The Steamhouse	atlanta	253 231 174 063 004 132 215 212 074 204 053 163
China Moon	atlanta	039 075 205 053 164
Coco Loco	atlanta	100 253 250 191 192 063 197 036 001 034 048 075 205 052 163
Cafe Gamay	atlanta	100 099 231 193 191 192 174 063 040 071 024 005 076 205 054 164
Capo's Cafe	atlanta	250 174 063 005 121 075 205 053 164
Fellini's Pasta	atlanta	250 178 174 071 036 121 075 204 052 163
First China	atlanta	253 191 192 174 004 132 059 036 039 076 205 052 163
Lindy's	atlanta	253 231 250 174 063 059 123 075 205 054 164
KAMOGAWA	atlanta	099 250 196 193 191 192 174 040 024 001 128 076 206 054 167
Beesley's of Buckhead	atlanta	080 253 231 059 215 005 075 205 053 164
Cafe Chanterelle	atlanta	253 231 250 191 192 174 045 094 123 122 075 205 053 164
Sushi Huku	atlanta	250 136 191 192 174 036 128 076 205 053 165
The Patio by the River	atlanta	231 198 200 196 191 192 174 063 146 248 071 059 036 008 091 075 205 053 166
Toni's Casa Napoli	atlanta	253 231 250 245 191 192 174 063 036 121 075 205 053 165
Calcutta	atlanta	253 250 174 197 083 117 074 205 052 163
Winfield's	atlanta	100 253 231 198 200 196 174 071 008 075 206 054 165
Oscario's	atlanta	200 191 192 174 124 075 205 052 165
La Fonda Latina	atlanta	253 250 102 174 063 197 034 075 204 052 163
Nickiemoto's	atlanta	253 250 102 174 063 083 215 025 172 076 205 053 165
Sundown Cafe	atlanta	253 174 025 025 007 142 234 222 076 205 053 164
Cafe Prego	atlanta	253 231 200 174 063 121 075 205 053 165
Phuket	atlanta	253 250 196 191 192 174 235 075 205 053 163
Fat Matt's Rib Shack	atlanta	253 250 174 063 071 036 017 075 204 052 162
Thumbs Up	atlanta	253 231 250 150 191 192 197 083 036 025 005 076 205 052 162
Himalaya's	atlanta	253 250 136 174 197 036 117 075 205 052 163
California Pizza Kitchen	atlanta	026 100 253 086 250 150 191 192 174 083 025 182 075 205 052 163
Bagel Palace	atlanta	100 174 036 229 042 061 058 129 075 204 051 162
Cowan's Sandwich Shop	atlanta	136 174 063 059 036 220 217 075 205 052 162
Hong Kong Harbor	atlanta	253 174 004 132 036 039 075 205 052 163
Bugatti	atlanta	250 191 192 174 040 123 075 205 053 166
Old South Barbecue	atlanta	100 253 250 198 174 083 036 024 017 075 204 051 163
Paisano's	atlanta	100 253 086 250 191 192 174 063 111 059 036 121 075 205 052 163
The Public House	atlanta	100 086 250 198 200 191 192 174 010 071 005 076 206 054 165
Bambinelli's	atlanta	100 253 231 191 192 174 063 071 036 123 075 204 052 163
CHOPSTIX	atlanta	253 099 200 174 063 114 071 039 076 206 054 165
CHOPSTIX	atlanta	253 099 200 174 063 114 071 039 077 206 055 167
Athens Pizza	atlanta	100 086 250 036 103 121 075 204 051 162
East Village Grille	atlanta	100 231 250 178 102 191 192 174 063 004 132 248 083 215 008 220 217 074 204 052 163
Alfredo's Italian Restaurant	atlanta	231 250 198 191 192 174 036 121 075 205 052 165
Longhorn Steaks	atlanta	100 253 231 250 174 083 215 225 075 205 053 164
Prince of Wales	atlanta	253 231 250 194 102 191 192 174 063 036 070 074 205 053 163
Royal Bagel	atlanta	229 058 076 204 051 162
Hsu's	atlanta	253 191 192 174 036 024 039 075 205 053 164
Rainbow Restaurant	atlanta	253 231 250 150 198 197 111 083 112 076 205 051 162
Joey D's Oakroom	atlanta	100 253 250 174 063 008 058 075 205 053 164
Ray's on the River	atlanta	100 253 086 231 250 198 193 191 192 174 111 071 036 215 008 212 075 205 053 164
Slocum's Tavern & Grill	atlanta	100 253 086 231 250 150 191 192 174 248 215 008 212 225 075 205 052 164
Skeeter's	atlanta	100 253 231 250 174 215 008 075 205 053 164
Vickery's	atlanta	253 250 102 063 197 004 132 114 215 007 048 107 075 205 053 164
57th Fighter Group	atlanta	100 253 086 250 178 245 190 066 191 192 174 063 248 057 036 008 074 204 054 164
Dante's Down the Hatch	atlanta	080 253 099 250 200 062 132 190 066 191 192 174 010 248 071 215 025 227 075 205 054 165
Stringer's Fish Camp	atlanta	100 253 231 250 191 192 174 036 212 075 205 052 163
Fichi	atlanta	100 253 231 250 174 111 036 045 121 075 205 052 165
LA GROTTA	atlanta	080 253 099 231 200 196 174 063 146 059 024 229 229 123 077 206 054 167
Everybody's Pizza	atlanta	100 253 086 250 174 063 059 036 215 121 182 075 204 052 163
Scalini's	atlanta	100 253 250 190 066 191 192 174 063 001 123 074 204 052 163
The Abbey	atlanta	080 099 250 200 245 191 192 174 010 071 024 045 091 075 205 054 167
1848 House	atlanta	011 253 099 250 200 193 191 192 010 248 024 220 217 076 206 054 166
Brookwood Grill	atlanta	253 250 174 063 215 008 075 205 053 163
Killeen's	atlanta	100 253 250 191 192 071 057 008 045 075 205 054 165
Carbo's Cafe	atlanta	253 099 250 200 245 190 066 189 191 192 174 063 248 071 024 229 045 076 206 054 167
Rocky's Brick Oven Pizza	atlanta	100 253 086 250 063 059 036 121 182 076 205 052 163
Gorin's Diner	atlanta	100 253 150 178 174 063 059 036 042 061 074 204 052 162
Georgia Grille	atlanta	250 191 192 174 063 221 007 222 076 205 053 164
Camille's	atlanta	250 063 197 124 182 075 205 052 164
NIKOLAI'S ROOF	atlanta	080 099 250 200 245 174 146 040 024 045 202 076 206 055 169
Bagelicious	atlanta	253 174 042 061 058 129 075 204 051 162
The King and I	atlanta	250 150 229 039 235 075 205 052 163
Provino's	atlanta	100 253 231 191 192 123 075 205 052 163
Khan's	atlanta	100 253 250 136 191 192 174 063 036 117 076 204 052 164
Robert's	atlanta	253 200 191 192 174 071 008 045 075 205 053 165
PANO'S AND PAUL'S	atlanta	080 253 099 200 245 196 191 192 174 146 111 071 024 045 077 206 054 167
Romanian Restaurant	atlanta	253 231 196 191 192 174 063 036 229 199 075 205 053 164
August Moon	atlanta	214 100 253 231 136 245 174 083 128 076 205 053 164
New Bagel Eatery	atlanta	100 253 198 174 063 059 036 058 075 204 051 162
Atkins Park Deli	atlanta	100 253 250 178 174 063 004 132 215 005 058 074 204 053 163
Blue Ribbon Grill	atlanta	100 253 231 174 059 036 008 074 204 052 163
St. Charles Deli	atlanta	253 250 178 191 192 174 063 083 059 036 058 074 204 052 163
Einstein's	atlanta	253 231 250 191 192 174 063 197 215 005 068 074 204 053 163
Hot Pepper Thai Cuisine	atlanta	250 136 174 242 235 076 205 052 163
Dailey's	atlanta	253 099 231 250 071 083 024 215 005 008 075 205 053 165
BUCKHEAD DINER	atlanta	080 253 231 250 189 102 174 114 024 215 005 076 206 055 165
Hal's on Old Ivy	atlanta	253 231 245 174 063 215 007 075 205 053 165
Heera of India	atlanta	253 250 191 192 174 059 036 117 075 205 053 163
Huey's	atlanta	253 086 231 250 174 063 083 036 030 047 075 204 052 162
Chequers	atlanta	253 231 250 191 192 174 063 083 215 212 075 205 053 164
Shillings on the Square	atlanta	250 200 071 008 074 205 052 164
La Tour	atlanta	080 099 200 191 192 174 146 071 045 091 076 206 054 167
De Palma's	atlanta	253 231 250 191 192 174 063 197 071 123 075 204 052 163
Sun Dial	atlanta	100 099 086 198 191 192 174 040 225 074 205 054 166
Oriental Pearl	atlanta	100 191 192 174 039 076 205 052 164
AZALEA	atlanta	080 253 231 250 174 063 114 215 025 005 172 212 076 206 053 165
Orient at Vinings	atlanta	253 174 036 039 076 206 053 164
Original Pancake House	atlanta	214 100 253 086 083 008 075 204 052 162
Highland Tap Steak Cellar	atlanta	253 231 250 194 062 132 174 063 004 132 215 225 075 205 053 164
Taste of Thai	atlanta	011 174 235 076 205 052 163
Bucket Shop	atlanta	100 253 250 062 132 174 063 036 215 005 008 074 204 052 163
Dawat Indian Cafe	atlanta	100 011 253 250 150 174 036 117 076 205 051 163
Peking	atlanta	253 191 192 174 036 039 075 205 053 164
South of France Restaurant	atlanta	253 200 191 192 174 248 071 036 092 075 205 053 165
Anne Marie's	atlanta	100 253 231 200 245 191 192 174 063 248 036 001 091 075 205 053 166
Haveli	atlanta	253 193 191 192 174 111 059 036 117 076 205 053 164
Altobeli's Fine Italian Cuisine	atlanta	100 253 231 250 191 192 174 248 071 036 121 075 205 053 164
Imperial Fez	atlanta	100 253 150 200 245 193 102 191 192 174 071 229 025 003 140 075 206 054 167
CIBOULETTE	atlanta	080 099 231 200 174 242 114 083 092 077 206 054 167
OK Cafe	atlanta	100 253 086 250 174 008 042 061 075 205 053 163
Capri Ristorante	atlanta	253 231 136 245 174 123 075 205 052 165
Villa D'este	atlanta	011 253 200 191 192 174 248 123 076 205 053 166
Ember's Seafood Grille	atlanta	253 231 250 245 191 192 174 111 248 212 075 205 052 161
VAN GOGH'S	atlanta	100 011 253 231 200 191 192 174 248 025 007 068 076 206 054 165
Asti Trattoria	atlanta	253 231 250 191 192 174 063 248 071 036 121 075 205 053 166
Trattoria La Strada	atlanta	100 253 250 121 076 206 053 164
Trader Vic's	atlanta	026 099 250 193 062 132 190 066 191 192 174 040 215 045 212 075 205 053 166
GREENWOOD'S ON GREEN STREET	atlanta	011 253 231 250 150 136 174 063 197 248 221 007 008 077 206 053 163
Addis	atlanta	253 231 250 174 197 036 003 075 205 052 163
American Roadhouse	atlanta	100 253 086 231 178 174 063 114 083 036 008 042 061 243 074 205 052 162
Red Barn Inn	atlanta	253 231 198 196 191 192 248 059 229 008 045 212 075 206 054 166
103 WEST	atlanta	080 253 099 200 245 196 191 192 146 024 045 076 206 054 167
Jalisco	atlanta	100 086 001 142 234 075 205 051 163
The Chart House	atlanta	100 253 231 250 191 192 174 063 248 024 229 225 074 205 053 165
Ho Ho	atlanta	253 245 191 192 174 229 039 076 205 051 163
BONE'S	atlanta	080 099 250 189 191 192 174 111 248 083 024 229 008 212 225 077 206 054 167
Aleck's Barbeque	atlanta	100 253 191 192 197 221 059 036 017 076 204 051 162
Bernard's	atlanta	231 200 191 192 174 071 059 091 075 205 052 166
William's Seafood	atlanta	100 253 231 250 198 191 192 174 221 036 212 074 204 051 163
Delectables	atlanta	253 231 191 192 063 111 083 059 036 005 029 076 205 052 162
Grand China	atlanta	100 253 198 191 192 174 063 111 059 036 039 075 205 052 163
Yen Jing	atlanta	253 191 192 174 004 132 039 130 076 205 053 163
The Pleasant Peasant	atlanta	099 231 250 200 191 192 174 114 083 024 005 076 206 054 165
Lettuce Souprise You	atlanta	253 250 150 198 174 063 111 083 059 036 008 075 205 052 162
Thai House	atlanta	250 191 192 235 076 205 052 164
RJ's Wine Bar Cafe	atlanta	080 253 250 191 192 174 063 215 068 075 205 053 164
Chile Tree	atlanta	253 250 150 191 192 174 197 071 001 142 234 075 205 053 164
Fisherman's Cove	atlanta	253 250 245 191 192 174 036 212 074 204 052 164
Broadway Danny's	atlanta	100 253 086 250 063 036 121 182 076 205 051 163
Sam's Gourmet Chinese Seafood	atlanta	253 231 191 192 174 036 039 074 204 051 163
Swan Coach House	atlanta	253 150 198 191 192 174 063 010 221 036 007 075 205 054 164
Nuevo Laredo Cantina	atlanta	142 234 076 205 052 163
The Varsity, Jr.	atlanta	100 253 086 250 102 191 192 174 063 010 083 059 036 107 075 205 052 162
L & N Seafood Grill	atlanta	100 253 086 231 250 178 174 083 212 074 205 052 164
Aunt Fanny's Cabin	atlanta	100 231 250 200 193 191 192 174 248 071 221 057 036 001 220 217 074 205 053 164
Babette's Cafe	atlanta	253 231 250 136 196 191 192 174 242 036 068 075 205 053 164
Bangkok	atlanta	214 250 191 192 174 036 235 075 205 052 163
Barbecue Kitchen	atlanta	100 253 250 191 192 174 221 036 017 220 217 076 205 052 162
Havana Sandwich Shop	atlanta	231 250 191 192 174 063 036 048 076 204 051 162
Oscar's Villa Capri	atlanta	253 250 198 245 191 192 174 036 024 124 076 205 053 166
Honto	atlanta	253 174 039 076 204 051 163
Red Hot and Blue	atlanta	100 250 178 191 192 063 071 059 057 036 017 074 205 052 163
Soul Vegetarian	atlanta	253 231 250 150 191 192 174 197 036 220 217 243 075 205 052 162
Soul Vegetarian	atlanta	253 231 250 150 191 192 174 197 036 220 217 243 075 205 053 163
Peachtree Cafe	atlanta	253 231 250 193 189 102 191 192 174 063 036 215 005 107 075 205 053 164
Don Juan	atlanta	253 193 190 066 191 192 174 071 057 223 073 204 052 165
Hashiguchi	atlanta	253 250 136 191 192 174 036 128 076 206 053 165
THE HEDGEROSE HEIGHTS INN	atlanta	080 253 099 200 245 196 174 146 036 045 077 206 055 168
CAFFE LUNA	boston	253 231 250 250 123 075 205 053 164
Chez Jean	boston	253 231 200 192 191 097 092 075 205 052 166
Sibel	boston	253 231 250 028 250 192 191 242 071 034 078 208 056 170
Veronique	boston	250 242 093 075 206 054 166
Warren Tavern	boston	250 250 062 132 190 066 192 191 114 010 108 248 071 215 008 074 205 054 165
DIVISION SIXTEEN	boston	253 231 250 250 197 132 114 059 215 068 075 204 052 164
ACROPOLIS	boston	231 250 250 191 103 074 204 052 163
Copley Sports Saloon	boston	008 078 208 056 170
MORTON'S OF CHICAGO	boston	137 253 099 250 174 114 024 225 076 206 053 167
O'Fado	boston	100 253 231 250 198 250 245 188 076 205 052 164
OPEN SESAME	boston	253 231 250 250 191 197 111 083 059 035 156 112 243 074 204 051 163
Yenching Palace	boston	253 250 250 191 039 074 204 051 163
OASIS CAFE	boston	100 253 231 250 250 149 191 197 059 008 076 205 053 164
DAILY CATCH	boston	231 150 149 197 046 123 124 212 076 205 052 164
Ten Huntington Bar & Grill	boston	253 250 062 132 192 191 174 040 097 024 008 075 205 053 167
MING GARDEN	boston	100 253 250 198 250 039 075 204 052 164
Cantin Abruzzi	boston	046 075 205 051 164
224 Boston St.	boston	231 250 136 149 192 191 114 108 028 063 097 071 068 078 208 056 170
Lyceum Bar & Grill	boston	253 250 250 245 192 191 114 248 071 215 104 075 205 053 165
TANDOOR HOUSE	boston	250 250 149 117 075 205 052 164
HO YUEN TING SEAFOOD	boston	231 250 046 039 212 076 204 051 163
RITZ DINING ROOM	boston	080 253 099 113 250 198 250 200 245 189 102 192 191 174 146 114 040 111 097 071 083 024 229 045 076 207 055 168
CHATTERLEY'S	boston	253 250 250 040 028 063 215 212 074 204 052 164
Durgin Park	boston	100 250 250 010 008 078 208 056 170
IL CAPRICCIO	boston	253 250 150 123 076 206 053 167
Sultan's Kitchen	boston	253 231 150 250 192 191 197 059 036 143 239 076 204 051 163
L'ESPALIER	boston	099 245 189 191 174 146 093 095 077 206 055 169
BELLA NAPOLI	boston	250 123 124 075 205 052 165
LITTLE OSAKA	boston	253 150 035 128 075 205 053 164
57 RESTAURANT	boston	253 250 198 250 062 132 192 191 146 040 071 024 008 075 205 053 166
Gill's Grill	boston	231 250 250 245 192 191 084 087 024 215 031 104 075 205 053 165
VILLAGE FISH, THE	boston	100 253 086 231 250 150 198 250 149 191 036 046 212 076 205 052 164
CIRO'S	boston	253 250 198 245 123 075 205 052 165
Schroeder's	boston	253 192 191 174 010 108 248 024 229 045 075 205 053 165
SHILLA	boston	214 250 250 128 130 075 204 052 164
IL DOLCE MOMENTO	boston	253 250 250 132 084 087 035 156 046 042 074 203 052 163
Vin & Eddie's	boston	011 253 250 198 250 192 191 071 215 123 076 205 053 166
STAR OF SIAM	boston	026 250 149 235 075 205 052 163
Piccola Venezia	boston	046 075 204 051 163
Willow Pond Kitchen	boston	253 231 250 250 149 212 074 204 052 163
DAVIO'S	boston	253 231 250 028 250 200 192 191 174 114 040 097 084 087 059 215 126 076 205 053 166
Tam O'Shanter	boston	046 075 205 051 164
SHERBORN INN	boston	011 011 253 250 198 250 200 245 192 191 040 040 008 075 205 054 167
CLUB CAFE	boston	253 250 102 192 191 197 132 114 111 108 097 071 036 215 068 075 205 053 165
CARL'S PAGODA	boston	231 197 132 046 039 076 204 050 164
Schifino	boston	123 124 075 205 053 166
GENJI	boston	253 250 250 200 062 132 192 191 108 128 075 205 053 165
CHARLEY'S SALOON	boston	253 231 250 250 062 132 192 191 174 242 132 114 108 028 063 059 215 008 074 204 052 164
LOCKE-OBER CAFE	boston	080 253 099 250 200 245 189 192 191 174 146 114 010 108 097 248 036 024 008 076 206 054 167
Hanmiok	boston	253 231 250 035 001 128 130 075 204 051 163
JIMBO'S FISH SHANTY	boston	100 231 250 250 062 132 174 212 075 205 052 164
DOM'S	boston	231 250 200 192 191 097 059 123 075 205 052 166
Paolo Ristorante	boston	005 123 124 078 208 056 170
Brasserie Les Halles	boston	092 075 205 053 166
Bentonwood Bakery	boston	145 000 078 208 056 170
Los Andes	boston	253 250 250 197 218 074 203 052 166
Jacob Wirth Restaurant	boston	253 028 010 108 098 074 204 052 164
Bridge Street Cafe	boston	011 253 231 250 250 028 063 097 045 076 205 053 165
SERENDIPITY III	boston	100 253 086 231 250 028 250 102 192 191 108 028 063 071 084 087 005 074 204 053 164
REDBONES	boston	100 253 086 231 250 197 059 036 046 076 205 052 164
BRISTOL LOUNGE	boston	253 113 250 198 250 102 174 132 040 111 097 248 071 083 024 005 075 206 054 166
Ocean Wealth	boston	039 078 208 056 170
Kowloon	boston	100 250 198 250 192 191 191 132 111 071 057 024 229 039 235 075 205 053 164
LA TRATTORIA	boston	253 231 250 250 062 132 123 124 075 205 052 165
TASTE OF INDIA	boston	253 250 250 191 117 075 205 052 164
Jimmy Mac's  (CLOSED)	boston	231 250 250 149 197 059 017 220 217 076 204 051 163
MISTER LEUNG'S	boston	253 250 200 189 192 191 174 114 036 024 039 076 206 054 167
CAFFE VITTORIA	boston	100 253 231 250 250 132 083 084 087 215 046 123 124 075 205 053 163
JOE'S AMERICAN BAR & GRILL	boston	231 250 250 102 174 114 108 028 063 059 215 104 074 204 053 164
Red Lion	boston	253 231 250 250 191 010 097 248 229 229 008 075 205 053 165
GOLDEN TEMPLE	boston	100 253 086 250 198 250 192 191 174 132 039 075 205 053 164
MAGIC PAN	boston	250 198 250 102 192 191 028 063 084 087 045 074 204 052 164
Mattapoisett Inn	boston	250 250 192 191 028 063 248 071 059 005 075 205 053 166
BORDER CAFE	boston	100 253 086 250 250 149 114 111 215 030 142 234 222 075 204 052 163
ST. CLOUD	boston	080 253 231 250 250 189 102 174 132 114 097 083 084 087 036 024 215 005 076 205 054 167
Porterhouse Cafe	boston	100 253 086 231 250 250 197 097 215 017 075 205 051 164
NEW BRIDGE CAFE	boston	253 086 231 250 250 149 191 197 046 017 076 205 051 163
Loading Zone	boston	100 253 250 250 192 191 197 242 114 111 097 215 017 075 205 054 164
The Charles Restaurant	boston	253 231 250 198 200 245 174 146 045 123 124 075 205 052 166
Marino's	boston	242 123 124 078 208 056 170
New Yorker Diner	boston	086 231 250 250 149 197 132 156 229 008 061 075 205 052 162
798 MAIN (CLOSED) (fka Panache)	boston	080 097 005 076 206 053 167
BEL CANTO	boston	100 253 086 231 250 250 149 192 191 028 063 123 124 182 075 204 052 163
Cajun Yankee	boston	231 197 030 220 217 076 205 051 165
